FSC-A	FSC-H	SSC-A	SSC-H	CD16 FITC	CD56 PE	DAPI	Time	Plate#	Well position	Sample name
65019.598	52551.0	34018.902	27715.0	1123.79	20405.1	12.46	39148.1	LCE123	E20	NKC_085
72228.6	59573.0	23405.57	19538.0	1122.7001	11900.34	41.829998	39639.2	LCE123	E21	NKC_085
86220.0	64397.0	32067.8	23399.0	824.04004	12261.42	47.17	39928.5	LCE123	E22	NKC_085
65498.4	54831.0	21239.74	17280.0	2742.4402	2006.34	25.81	40228.5	LCE123	E23	NKC_085
89831.695	67364.0	34979.19	23446.0	892.71	31915.799	40.94	40392.4	LCE123	E24	NKC_085
81003.6	64484.0	31348.4	25269.0	8633.891	2670.3599	19.58	40628.8	LCE123	F24	NKC_085
65151.0	53174.0	19594.93	15165.0	3032.3801	2218.5	30.26	40859.7	LCE123	F23	NKC_085
72812.695	59586.0	29554.262	22090.0	4104.94	1601.4	28.48	41302.9	LCE123	F22	NKC_085
66167.1	55328.0	20532.33	16558.0	2800.2102	1303.5599	-129.05	41648.5	LCE123	F21	NKC_085
81669.6	64321.0	32241.111	23611.0	715.04004	4820.52	24.029999	42616.2	LCE123	F20	NKC_085
117014.4	73411.0	74782.72	48382.0	67.58	31.619999	-105.909996	42786.9	LCE123	F19	NKC_085
164070.89	82382.0	81183.2	54091.0	104.64	44.879997	83.659996	42988.2	LCE123	F18	NKC_085
129741.3	81335.0	63052.14	42146.0	103.55	38.76	313.28	43167.9	LCE123	F17	NKC_085
147830.39	89503.0	126641.66	80639.0	115.54	71.4	169.98999	43360.1	LCE123	F16	NKC_085
177596.1	97583.0	111904.85	57662.0	140.61	108.119995	302.6	43563.7	LCE123	F15	NKC_085
151375.5	86205.0	117400.63	65687.0	173.31001	73.44	151.3	43742.0	LCE123	F14	NKC_085
150881.39	81160.0	106594.375	56867.0	117.72	90.78	146.84999	43934.0	LCE123	F13	NKC_085
109801.8	69144.0	64827.754	42347.0	483.96002	117.299995	105.909996	44667.6	LCE123	F12	NKC_085
101886.3	73344.0	68785.54	48999.0	2052.47	31.619999	153.08	45011.1	LCE123	F11	NKC_085
102295.8	73369.0	55875.582	35262.0	2523.35	21.42	56.96	45391.4	LCE123	F10	NKC_085
108905.4	75915.0	54893.492	36273.0	818.59	49.98	103.24	45743.1	LCE123	F9	NKC_085
139243.5	76711.0	106448.31	67814.0	1035.5	57.12	132.61	46026.2	LCE123	F8	NKC_085
74879.1	58375.0	30956.0	22863.0	7700.85	22.439999	32.93	46990.9	LCE123	F7	NKC_085
114627.59	66503.0	122162.84	78690.0	868.73004	61.199997	131.72	47463.4	LCE123	F6	NKC_085
81531.0	45020.0	78168.266	46587.0	168.95001	51320.277	108.58	47658.2	LCE123	F5	NKC_085
83538.0	59431.0	49896.93	30650.0	83.93	24574.86	50.73	47842.3	LCE123	F4	NKC_085
95778.9	70911.0	34125.723	25414.0	70.85	23338.62	29.369999	48019.2	LCE123	F3	NKC_085
82764.0	61538.0	35853.37	24093.0	81.75	23302.92	47.17	48217.5	LCE123	F2	NKC_085
100869.3	75470.0	45154.34	29522.0	103.55	30796.86	63.19	48401.9	LCE123	F1	NKC_085
98507.695	71142.0	50543.3	33802.0	126.44	25578.54	37.38	48581.6	LCE123	G1	NKC_085
76243.5	59758.0	32480.91	23327.0	52.32	17076.84	42.72	48775.5	LCE123	G2	NKC_085
78598.8	62572.0	26837.98	19770.0	69.76	17269.62	32.93	48966.6	LCE123	G3	NKC_085
95279.4	70820.0	35685.51	26014.0	97.01	20660.1	29.369999	49139.6	LCE123	G4	NKC_085
80108.1	56557.0	52454.07	33047.0	142.79001	33893.58	-49.84	49341.8	LCE123	G5	NKC_085
158905.8	92083.0	128255.945	75330.0	768.45	110.159996	263.44	50218.4	LCE123	G6	NKC_085
111719.695	76202.0	84980.766	56171.0	1075.8301	51.0	123.71	51198.4	LCE123	G7	NKC_085
88649.09	49939.0	65269.203	40891.0	1600.12	111.18	185.12	51632.1	LCE123	G8	NKC_085
91806.3	61340.0	57074.582	37568.0	1377.76	19.38	79.21	51876.9	LCE123	G9	NKC_085
102721.5	73270.0	69571.43	48149.0	515.57	87.72	81.88	52314.2	LCE123	G10	NKC_085
124857.0	82005.0	103987.09	70809.0	807.69	100.979996	173.55	52882.2	LCE123	G11	NKC_085
100530.9	68079.0	56687.633	36126.0	1207.7201	54.059998	105.02	53365.5	LCE123	G12	NKC_085
189400.5	101008.0	143949.77	77574.0	199.47	97.92	367.57	53535.4	LCE123	G13	NKC_085
123507.9	80825.0	83597.555	50390.0	86.11	53.04	3.56	53716.8	LCE123	G14	NKC_085
106602.3	76613.0	44396.793	32702.0	65.4	90.78	132.61	53906.7	LCE123	G15	NKC_085
133065.89	85380.0	68145.71	42452.0	59.95	51.0	81.88	54082.5	LCE123	G16	NKC_085
168106.5	93254.0	87726.48	45882.0	151.51001	100.979996	158.42	54267.4	LCE123	G17	NKC_085
124091.09	66700.0	126366.98	70395.0	123.170006	128.52	191.34999	54457.1	LCE123	G18	NKC_085
